yrTerm1Convertible.allUpfront,yrTerm1Convertible.noUpfront,yrTerm1Convertible.partialUpfront,yrTerm1Standard.allUpfront,yrTerm1Standard.noUpfront,yrTerm1Standard.partialUpfront,yrTerm3Convertible.allUpfront,yrTerm3Convertible.noUpfront,yrTerm3Convertible.partialUpfront,yrTerm3Standard.allUpfront,yrTerm3Standard.noUpfront,yrTerm3Standard.partialUpfront,instance_type,on_demand
4.089612,4.382,4.17353,3.556279,3.81,3.628384,2.862747,3.155,2.921578,2.274049,2.613,2.419589,r5.24xlarge,6.048
2.226256,2.385,2.271845,1.919178,2.056,1.958224,1.324277,1.459,1.351647,1.104528,1.269,1.175519,m5dn.12xlarge,3.264
3.613584,3.872,3.687721,3.142237,3.367,3.206196,2.267656,2.499,2.313963,1.893798,2.176,2.014344,r5dn.16xlarge,5.344
0.090183,0.0966,0.092005,0.078196,0.084,0.079954,0.059741,0.0658,0.060979,0.05,0.0572,0.053598,r4.large,0.133
0.202169,0.217,0.206196,0.17637,0.209,0.180352,0.158752,0.188,0.162632,0.116629,,0.123696,r3.xlarge,0.333
17.652283,18.913,18.012279,15.349772,16.446,15.663507,8.952397,9.866,9.135542,7.466971,8.579,7.943804,x1e.32xlarge,26.688
0.146119,0.157,0.149543,0.127055,0.136,0.12984,0.081963,0.09,0.083819,0.068265,0.078,0.072301,c5n.xlarge,0.216
0.469977,0.504,0.479726,0.404566,0.433,0.412393,0.315563,0.348,0.321997,0.258676,0.297,0.275595,m5a.4xlarge,0.688
0.355822,0.381,0.363621,0.308105,0.33,0.314192,0.244939,0.27,0.249962,0.197032,0.226,0.209795,r5ad.2xlarge,0.524
0.123402,0.1322,0.126014,0.107306,0.115,0.109595,0.083676,0.0922,0.085394,0.069787,0.0802,0.074239,t2.xlarge,0.1856
20.62226,22.095,21.043575,17.933562,19.215,18.299772,14.981887,16.511,15.287836,9.06583,10.416,9.64426,p3dn.24xlarge,31.212
10.548744,11.302,10.763963,9.172831,9.828,9.360023,7.663661,8.446,7.820046,6.392009,7.344,6.8,p2.16xlarge,14.4
2.968379,3.18,3.028498,2.559018,2.742,2.611594,1.765677,1.946,1.801875,1.472717,1.692,1.566371,m5dn.16xlarge,4.352
1.139612,1.221,1.162393,0.992123,1.168,1.012434,0.892922,1.051,0.910883,0.628082,,0.668209,c3.8xlarge,1.68
0.046347,0.05,0.04763,0.040297,0.048,0.041087,0.036263,0.043,0.036689,0.026142,,0.027823,m3.medium,0.067
1.103311,1.182,1.1259,0.959361,1.028,0.978498,0.559513,0.617,0.570464,0.466667,0.536,0.49625,x1e.2xlarge,1.668
4.452626,4.771,4.543689,3.83847,4.113,3.916447,2.648554,2.919,2.702294,2.209056,2.538,2.350038,m5dn.24xlarge,6.528
0.93984,1.007,0.959566,0.809132,0.867,0.825785,0.631088,0.695,0.643994,0.51739,0.594,0.55019,m5a.8xlarge,1.376
0.282648,0.303,0.288178,0.242237,0.26,0.24763,0.188546,0.208,0.192195,0.154909,0.178,0.164382,m5ad.2xlarge,0.412
0.306507,0.328,0.312393,0.265753,0.285,0.271616,0.213965,0.236,0.21817,0.169939,0.195,0.180411,r5a.2xlarge,0.452
3.119635,3.342,3.183667,2.709475,2.903,2.76442,2.019216,2.225,2.060213,1.68417,1.935,1.791814,c5d.metal,4.608
1.409817,1.511,1.438292,1.213584,1.3,1.238178,0.946651,1.043,0.965991,0.776065,0.892,0.825785,m5a.12xlarge,2.064
0.015411,0.0165,0.015777,0.01347,0.0144,0.013649,0.010464,0.0115,0.010627,0.008714,0.01,0.009242,t2.small,0.023
2.471347,2.648,2.521845,2.126256,2.278,2.169817,1.651408,1.82,1.68558,1.359627,1.562,1.446212,m5d.16xlarge,3.616
0.388813,0.417,0.396402,0.336986,0.402,0.343918,0.303272,0.362,0.309718,0.197679,,0.210289,d2.xlarge,0.69
0.229909,0.246,0.234352,0.199886,0.214,0.204055,0.148935,0.164,0.151989,0.124011,0.142,0.131944,c5.2xlarge,0.34
2.942808,3.153,3.002484,2.559018,2.742,2.611594,2.047184,2.256,2.088482,1.636339,1.88,1.740396,g4dn.16xlarge,4.352
0.026484,0.0283,0.02697,0.022489,0.0241,0.02303,0.018113,0.02,0.018447,0.014574,0.0167,0.015463,m6g.medium,0.0385
,,,0.190753,0.224,0.194671,,,,0.116667,,0.124116,m1.xlarge,0.35
0.1621,0.174,0.165648,0.139954,0.15,0.142347,0.095624,0.105,0.097782,0.079871,0.092,0.084466,m5n.xlarge,0.238
1.693151,1.8141,1.727827,1.44258,1.5456,1.471959,1.160274,1.2787,1.183971,0.932268,1.0711,0.99179,m6g.16xlarge,2.464
0.259932,0.279,0.265648,0.225799,0.242,0.230183,0.168265,0.185,0.171845,0.140335,0.161,0.149658,c5d.2xlarge,0.384
0.185274,0.199,0.189521,0.163014,0.19,0.166119,0.146728,0.171,0.149492,0.10449,,0.11118,m3.xlarge,0.266
,,,0.047146,0.056,0.048196,,,,0.029376,,0.031269,m1.medium,0.087
0.025342,0.0271,0.0258,0.022032,0.0236,0.022387,0.016971,0.0187,0.017376,0.014155,0.0162,0.015034,t3a.medium,0.0376
2.885046,3.0912,2.944032,2.502511,2.688,2.553826,1.911377,2.1064,1.95039,1.600266,1.8317,1.702218,r4.16xlarge,4.256
0.229909,0.246,0.234352,0.198744,0.214,0.20237,0.157763,0.174,0.161518,0.131963,0.151,0.140205,i3.xlarge,0.312
0.504566,0.541,0.51442,0.437443,0.469,0.446174,0.320091,0.353,0.326318,0.267161,0.307,0.284085,z1d.2xlarge,0.744
0.142466,0.153,0.145717,0.124772,0.146,0.127429,0.112291,0.131,0.114971,0.078615,,0.083661,c3.xlarge,0.21
1.363242,1.461,1.391548,1.185388,1.27,1.209795,0.954262,1.052,0.973872,0.758029,0.871,0.806196,r5.8xlarge,2.016
0.284932,0.305,0.29032,0.247717,0.292,0.252858,0.222945,0.263,0.22798,0.15723,,0.167283,c3.2xlarge,0.42
0.404338,0.433,0.412279,0.35274,0.418,0.359703,0.317466,0.376,0.324225,0.233257,,0.248353,r3.2xlarge,0.665
0.360616,0.3864,0.368018,0.312785,0.336,0.319589,0.238927,0.2633,0.243818,0.200038,0.229,0.212393,r4.2xlarge,0.532
1.091324,1.1693,1.113649,0.948288,1.0161,0.96759,0.765145,0.8432,0.780773,0.606431,0.6967,0.645165,r6g.8xlarge,1.6128
5.274315,5.651,5.381982,4.586416,4.914,4.679954,3.831849,4.223,3.910023,3.196005,3.672,3.4,p2.8xlarge,7.2
0.131621,0.141,0.134123,0.1129,0.121,0.115648,0.088356,0.097,0.090091,0.072184,0.083,0.076394,m5.xlarge,0.192
1.081963,1.159,1.104055,0.946689,1.008,0.965991,0.739307,0.815,0.754207,0.621347,0.708,0.660518,c4.8xlarge,1.591
1.314726,1.409,1.341776,1.143037,1.225,1.166219,0.737671,0.813,0.75237,0.614346,0.706,0.653788,c5n.9xlarge,1.944
0.835502,0.895,0.852256,0.724429,0.776,0.739635,0.539688,0.595,0.550342,0.463242,0.532,0.492385,c5a.8xlarge,1.232
0.777626,0.833,0.793804,0.673973,0.804,0.687836,0.606583,0.724,0.619437,0.395358,,0.420578,d2.2xlarge,1.38
2.182763,2.3386,2.227184,1.896689,2.0321,1.935394,1.530289,1.6864,1.561546,1.212823,1.3935,1.290229,r6g.metal,3.2256
1.555251,1.666,1.587493,1.347945,1.608,1.375671,1.213166,1.447,1.237912,0.790715,,0.841157,d2.4xlarge,2.76
0.565297,0.606,0.576356,0.484475,0.519,0.494146,0.377093,0.416,0.38439,0.309817,0.356,0.329802,m5ad.4xlarge,0.824
0.114954,0.123,0.117676,0.1,0.107,0.102027,0.074467,0.082,0.076014,0.061986,0.071,0.065991,c5.xlarge,0.17
0.370091,0.3965,0.377613,0.319863,0.3427,0.326442,0.238356,0.2627,0.243213,0.204528,0.235,0.21759,c6g.4xlarge,0.544
0.742123,0.795,0.757653,0.639726,0.685,0.65237,0.441438,0.486,0.450228,0.368189,0.423,0.391852,m5dn.4xlarge,1.088
1.287329,1.379,1.313849,1.119406,1.199,1.142119,0.858219,0.946,0.875861,0.71583,0.822,0.761746,inf1.6xlarge,1.904
5.290639,5.668,5.398315,4.600457,4.929,4.694146,3.680403,4.056,3.755778,2.941819,3.38,3.129802,g4dn.metal,7.824
0.104452,0.112,0.106311,0.090525,0.097,0.092233,0.067466,0.074,0.068437,0.057915,0.067,0.061784,c5a.xlarge,0.154
0.617808,0.662,0.630183,0.531507,0.57,0.542233,0.412861,0.455,0.421654,0.339916,0.391,0.361784,m5d.4xlarge,0.904
2.726484,2.921,2.782096,2.370776,2.54,2.419589,1.908524,2.103,1.947744,1.51602,1.742,1.612393,r5.16xlarge,4.032
3.890411,4.168,3.969932,3.358676,3.599,3.427584,2.295091,2.529,2.341967,1.916819,2.202,2.039597,m5n.24xlarge,5.712
0.132991,0.1425,0.135708,0.115639,0.1239,0.118018,0.090145,0.0994,0.092005,0.07519,0.0864,0.079992,m4.xlarge,0.2
0.613014,0.657,0.625785,0.531507,0.57,0.542233,0.427892,0.472,0.436303,0.339916,0.391,0.361784,r5a.4xlarge,0.904
0.111986,0.12,0.114178,0.097374,0.1043,0.099358,0.074924,0.0826,0.076442,0.062557,0.0719,0.066595,t3.xlarge,0.1664
3.027283,3.244,3.089521,2.624886,2.812,2.678155,1.92051,2.116,1.959833,1.60293,1.842,1.705626,z1d.12xlarge,4.464
2.12774,2.2798,2.171216,1.850228,1.9824,1.88795,1.442542,1.5898,1.471997,1.203196,1.3824,1.279992,m4.16xlarge,3.2
2.044863,2.191,2.086265,1.778082,1.905,1.814192,1.431393,1.577,1.460289,1.137024,1.306,1.209795,r5.12xlarge,3.024
0.531963,0.5699,0.542747,0.462557,0.4956,0.471959,0.360654,0.3974,0.368018,0.300799,0.3456,0.320008,m4.4xlarge,0.8
0.180365,0.1932,0.184009,0.156393,0.168,0.159795,0.119444,0.1317,0.121859,0.1,0.1145,0.106196,r4.xlarge,0.266
,,,0.023516,0.028,0.024041,,,,0.015183,,0.016154,m1.small,0.044
0.06895,0.0739,0.07036,0.059932,0.0643,0.061194,0.045967,0.0507,0.046978,0.038356,0.0441,0.040796,a1.xlarge,0.102
1.513699,1.622,1.54426,1.312443,1.406,1.339635,0.960236,1.058,0.979916,0.801484,0.921,0.852294,z1d.6xlarge,2.232
0.780365,0.836,0.796174,0.677397,0.726,0.691548,0.538318,0.593,0.549658,0.433143,0.498,0.460403,r5d.4xlarge,1.152
1.480137,1.5859,1.510337,1.279452,1.3709,1.305654,0.953425,1.0507,0.972854,0.818189,0.94,0.870398,c6g.16xlarge,2.176
2.182763,2.3386,2.227184,1.896689,2.0321,1.935394,1.530289,1.6864,1.561546,1.212823,1.3935,1.290229,r6g.16xlarge,3.2256
2.452283,2.627,2.502142,2.126256,2.278,2.169817,1.711606,1.886,1.74625,1.359627,1.562,1.446212,r5a.16xlarge,3.616
0.08105,0.087,0.082324,0.069977,0.075,0.071731,0.047831,0.053,0.048391,0.039916,0.046,0.042233,m5n.large,0.119
1.484247,1.59,1.514192,1.279452,1.371,1.305854,0.882839,0.973,0.900419,0.736339,0.846,0.783667,m5dn.8xlarge,2.176
0.659247,0.706,0.672416,0.573288,0.614,0.584466,0.478995,0.528,0.488368,0.399505,0.459,0.424481,p2.xlarge,0.9
0.569863,0.611,0.581753,0.496575,0.584,0.506717,0.446918,0.526,0.45596,0.314498,,0.334604,c3.4xlarge,0.84
0.721233,0.7728,0.736037,0.625685,0.672,0.638178,0.477854,0.5266,0.487598,0.400076,0.4579,0.425785,r4.4xlarge,1.064
0.153311,0.164,0.156196,0.132877,0.142,0.135808,0.106963,0.118,0.109566,0.08497,0.098,0.090205,r5a.xlarge,0.226
0.648402,0.695,0.661822,0.559817,0.6,0.571616,0.382496,0.422,0.390167,0.319482,0.367,0.339939,m5n.4xlarge,0.952
0.341438,0.366,0.348201,0.296918,0.318,0.302484,0.235921,0.26,0.240358,0.196766,0.226,0.20968,h1.2xlarge,0.468
3.391553,3.634,3.460365,2.907078,3.115,2.966219,2.262671,2.494,2.308414,1.858942,2.136,1.977813,m5ad.24xlarge,4.944
0.092466,0.0991,0.094346,0.080023,0.0857,0.081553,0.059589,0.0657,0.060803,0.051142,0.0588,0.054407,c6g.xlarge,0.136
1.693151,1.8141,1.727827,1.44258,1.5456,1.471959,1.160274,1.2787,1.183971,0.932268,1.0711,0.99179,m6g.metal,2.464
2.394863,2.566,2.443804,2.08242,2.231,2.124443,1.718645,1.894,1.753865,1.433486,1.647,1.524481,f1.4xlarge,3.3
2.506507,2.686,2.557767,2.173288,2.328,2.21779,1.619064,1.784,1.652065,1.389688,1.597,1.478193,c5a.24xlarge,3.696
